epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57145,2.22068,3.15521,2.97541,0.00333,1,0.04767,0.0131,2.34969,3.93185,3.80158,2e-05,2e-05,2e-05
2,10.7547,2.37514,2.98446,2.98807,0.00333,1,0.05404,0.02018,2.22279,3.88945,3.39206,5.8812e-05,5.8812e-05,5.8812e-05
3,15.8401,2.10346,3.02164,2.53729,0.00333,1,0.16597,0.04659,2.11049,3.86538,3.13322,9.604e-05,9.604e-05,9.604e-05
4,21.7487,1.97975,2.77256,2.2746,0.00333,1,0.75584,0.21824,2.02955,3.77667,2.89564,0.000131684,0.000131684,0.000131684
5,27.0148,1.97891,2.68666,2.16506,0.00333,1,0.77277,0.25424,1.93503,3.71186,2.67431,0.000165744,0.000165744,0.000165744
6,32.5111,1.95223,2.64267,2.27001,0.00333,1,0.76496,0.29904,1.92055,3.72074,2.58105,0.00019822,0.00019822,0.00019822
7,37.579,1.80375,2.84327,2.11531,0.00333,1,0.77721,0.30588,1.82853,3.66022,2.42146,0.000229112,0.000229112,0.000229112
